patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5110459,"B & B W/W, Inc.",,bbww,1319855,"B & B B, Inc.",bbb,85.71428571428572,85.71428571428572
5110459,"B & B W/W, Inc.",,bbww,1319855,"B & B B, INC.",bbb,85.71428571428572,85.71428571428572
5110459,"B & B W/W, Inc.",,bbww,1319855,"B & B B, Inc.",bbb,85.71428571428572,85.71428571428572
5110459,"B & B W/W, Inc.",,bbww,1319855,"B & B B, INC.",bbb,85.71428571428572,85.71428571428572
5110459,"B & B W/W, Inc.",,bbww,1319855,"B & B B, Inc.",bbb,85.71428571428572,85.71428571428572
3636638,Beard Industries Inc,,beardindustries,939317,B A R D INDUSTRIES INC,bardindustries,90.47619047619048,90.47619047619048
5440739,"Beck Systems, Inc.",,becksystems,1590352,"B C Systems, Inc.",bcsystems,91.42857142857143,91.42857142857143
3912890,BACOM Inc,,bacom,1140736,B COM INC,bcom,88.88888888888889,88.88888888888889
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B GREEN INNOVATIONS, INC.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B GREEN INNOVATIONS, INC.",bgreeninnovations,87.5,87.5
5532438,"BROWN INNOVATIONS, INC.",,browninnovations,1307969,"B Green Innovations, Inc.",bgreeninnovations,87.5,87.5
5688504,"B. TWELVE, INC.",,btwelve,1164888,B TWELVE INC,btwelve,88.88888888888889,88.88888888888889
4752997,BMK INTERNATIONAL INC.,,bmkinternational,865886,B U M INTERNATIONAL INC,buminternational,88.88888888888889,88.88888888888889
3012347,B VAC CORP,,bvac,1038625,B V CORP,bv,88.88888888888889,88.88888888888889
4547623,"B.W. ELLIOTT MANUFACTURING CO., LLC",,bwelliottmanufacturing,1428302,B W Elliott Manufacturing Co LLC,bwelliottmanufacturing,92.53731343283582,92.53731343283582
4547623,"B.W. ELLIOTT MANUFACTURING CO., LLC",,bwelliottmanufacturing,1428302,B W ELLIOTT MANUFACTURING CO LLC,bwelliottmanufacturing,92.53731343283582,92.53731343283582
5588588,B&B Partnership,,bbpartnership,1535525,B&B PARTNERSHIP,bbpartnership,100.0,100.0
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B RESOURCES, INC.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B Resources, Inc.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B RESOURCES, INC.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B Resources, Inc.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B RESOURCES, INC.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B Resources, Inc.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B RESOURCES, INC.",bbresources,89.47368421052632,89.47368421052632
4982337,"BLM RESOURCES, INC.",,blmresources,1571422,"B&B Resources, Inc.",bbresources,89.47368421052632,89.47368421052632
