patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5455932,"CPTN HOLDINGS, LLC",,cptn,1523793,"C & N Holdings, LLC",cn,86.48648648648648,86.48648648648648
2682701,Cpc Engineering Corp,,cpcengineering,1226702,C B P ENGINEERING CORP,cbpengineering,90.47619047619048,90.47619047619048
2729357,CAMBRIDGE CORP,,cambridge,1221553,C BRIDGE CORP,cbridge,88.88888888888889,88.88888888888889
4362111,CTC INVESTMENTS INC.,,ctcinvestments,1334145,"C C F INVESTMENTS, INC.",ccfinvestments,88.37209302325581,88.37209302325581
4394631,"C-Cor Electronics, Inc.",,ccorelectronics,104834,C COR ELECTRONICS INC,ccorelectronics,90.9090909090909,90.9090909090909
4394631,"C-Cor Electronics, Inc.",,ccorelectronics,320595,C COR ELECTRONICS INC,ccorelectronics,90.9090909090909,90.9090909090909
4394631,"C-Cor Electronics, Inc.",,ccorelectronics,350621,C COR ELECTRONICS INC,ccorelectronics,90.9090909090909,90.9090909090909
4394631,"C-Cor Electronics, Inc.",,ccorelectronics,350621,C COR ELECTRONICS INC,ccorelectronics,90.9090909090909,90.9090909090909
4394631,"C-Cor Electronics, Inc.",,ccorelectronics,350621,C COR ELECTRONICS INC,ccorelectronics,90.9090909090909,90.9090909090909
5682204,"C Cube Microsystems, Inc.",,ccubemicrosystems,919870,C CUBE MICROSYSTEMS INC,ccubemicrosystems,95.83333333333334,95.83333333333334
5682204,"C Cube Microsystems, Inc.",,ccubemicrosystems,1102056,C CUBE MICROSYSTEMS INC DE,ccubemicrosystems,90.19607843137256,90.19607843137256
5682204,"C Cube Microsystems, Inc.",,ccubemicrosystems,1102056,C CUBE MICROSYSTEMS INC/DE,ccubemicrosystemsincde,90.19607843137256,90.19607843137256
5151875,C-CUBE SEMICONDUCTOR II INC.,,ccubesemiconductorii,1102056,C CUBE SEMICONDUCTOR INC,ccubesemiconductor,88.46153846153845,88.46153846153845
3090182,CAL CUBE Inc,,calcube,1305147,C CUBED INC,ccubed,86.95652173913044,86.95652173913044
5142803,"CEC ENTERTAINMENT, INC.",,cecentertainment,1415432,C E ENTERTAINMENT INC,ceentertainment,90.9090909090909,90.9090909090909
4362111,CTC INVESTMENTS INC.,,ctcinvestments,1129343,C G INVESTMENTS INC,cginvestments,87.17948717948718,87.17948717948718
5035339,"CMA INDUSTRIES, INC.",,cmaindustries,896043,C MAC INDUSTRIES INC,cmacindustries,90.0,90.0
5618845,"CNS MARKETING, LLC",,cnsmarketing,1332411,C Marketing LLC,cmarketing,90.9090909090909,90.9090909090909
3022221,Chemicals Inc,,chemicals,1069900,C P CHEMICALS INC,cpchemicals,86.66666666666667,86.66666666666667
5685126,"C & L International, Inc.",,clinternational,1015695,C R H INTERNATIONAL INC,crhinternational,87.5,87.5
3223523,C K Williams & Co Inc,,ckwilliams,107245,C T WILLIAMS & CO INC,ctwilliams,95.23809523809523,95.23809523809523
3874703,CTEC CORP,,ctec,310433,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,310433,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,310433,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,310433,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,310433,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,789881,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,887627,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,914538,C TEC CORP,ctec,94.73684210526316,94.73684210526316
3874703,CTEC CORP,,ctec,1041858,C TEC CORP,ctec,94.73684210526316,94.73684210526316
4683647,"C&D TECHNOLOGIES, INC.",,cdtechnologies,808064,C&D TECHNOLOGIES INC,cdtechnologies,95.23809523809523,95.23809523809523
5380754,"CEP HOLDINGS, INC.",,cep,1120040,C&E HOLDINGS INC,ce,88.23529411764706,88.23529411764706
5099771,"CLEAN INVESTMENTS, LLC",,cleaninvestments,1375457,"C&G INVESTMENTS, LLC",cginvestments,85.71428571428572,85.71428571428572
5099771,"CLEAN INVESTMENTS, LLC",,cleaninvestments,1375457,"C&G Investments, LLC",cginvestments,85.71428571428572,85.71428571428572
5099771,"CLEAN INVESTMENTS, LLC",,cleaninvestments,1375457,"C&G INVESTMENTS, LLC",cginvestments,85.71428571428572,85.71428571428572
5099771,"CLEAN INVESTMENTS, LLC",,cleaninvestments,1375457,"C&G Investments, LLC",cginvestments,85.71428571428572,85.71428571428572
5099771,"CLEAN INVESTMENTS, LLC",,cleaninvestments,1375457,"C&G INVESTMENTS, LLC",cginvestments,85.71428571428572,85.71428571428572
6085309,CSG SYSTEMS INC.,,csgsystems,1064547,C&G SYSTEMS INC,cgsystems,90.32258064516128,90.32258064516128
5912197,"C & H Packaging Company, Inc.",,chpackaging,1297949,"C&H Packaging Company, Inc.",chpackaging,96.42857142857143,96.42857142857143
5192408,"CBS Scientific, Inc.",,cbsscientific,1533533,"C&H SCIENTIFIC, INC.",chscientific,90.0,90.0
5700767,"CJD Investments, Inc.",,cjdinvestments,1444994,C&J INVESTMENTS INC,cjinvestments,90.0,90.0
5475597,"CSX TRANSPORTATION, INC.",,csxtransportation,1284165,C&M TRANSPORTATION INC,cmtransportation,86.95652173913044,86.95652173913044
3874662,CHM ENTERPRISES Inc,,chmenterprises,1070652,C&T ENTERPRISES INC,ctenterprises,89.47368421052632,89.47368421052632
5408941,"CB ACQUISITION, LLC",,cbacquisition,1676875,"C&W ACQUISITION, LLC",cwacquisition,92.3076923076923,92.3076923076923
4070563,"CONDOR SYSTEMS, INC.",,condorsystems,1421636,"C-Bond Systems, Inc",cbondsystems,87.17948717948718,87.17948717948718
6091672,"CBY HOLDINGS, LLC",,cby,1713465,"C-Holdings, LLC",c,87.5,87.5
5911937,"CRATOS CAPITAL MANAGEMENT, LLC",,cratoscapitalmanagement,1278368,C-R CAPITAL MANAGEMENT LLC,crcapitalmanagement,89.28571428571429,89.28571428571429
5590038,"C-SAM, INC.",,csam,1517537,"C-Sam, Inc.",csam,100.0,100.0
5493702,"CHESTER HOLDINGS, LLC",,chester,1575008,"C-SUITE HOLDINGS, LLC",csuite,85.71428571428572,85.71428571428572
