cik,company_name,Cleaned_company_name,Score
1341561,B & A DEVELOPMENT GROUP L P,badevelopmentgrouplp,
1619806,"B & A Global Energy, Inc",baglobalenergy,
1283923,B & B AUSTRALIA INVESTMENT CO L P,bbaustraliainvestmentlp,
1698821,"B & B BUTCHERS - FW, LTD.",bbbutchersfw,
1300088,B & B Producers UK London Investment Co LP,bbproducersuklondoninvestment,
711325,"B & B SECURITIES, INC.",bbsecurities,
1212412,B & C BROS INTERNATIONAL TRADING CORP,bcbrosinternationaltrading,
1523052,B & C Sanitation Corp,bcsanitation,
1284212,B & H EDUCATION INC,bheducation,
1581969,"B & H WIND, LLC",bhwind,
1597167,"B & R BUTCHERS, LTD.",brbutchers,
1450935,B & T Capital Management DBA Alpha Capital Management,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T CAPITAL MANAGEMENT DBA ALPHA CAPITAL MANAGEMENT,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T Capital Management DBA Alpha Capital Management,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T CAPITAL MANAGEMENT DBA ALPHA CAPITAL MANAGEMENT,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T Capital Management DBA Alpha Capital Management,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T CAPITAL MANAGEMENT DBA ALPHA CAPITAL MANAGEMENT,btcapitalmanagementdbaalphacapitalmanagement,
1450935,B & T Capital Management DBA Alpha Capital Management,btcapitalmanagementdbaalphacapitalmanagement,
1170325,"B & T SECURITIES, INC.",btsecurities,
1453545,B & W SENSORS LLC,bwsensors,
1265148,B A A M S INC,baams,
1677669,"B Asset Manager, LP",bassetmanager,
1684086,"B Ave. Investments, LLC",baveinvestments,
1019317,B B GRAHAM & CO INC /BD,bbgrahambd,
882505,B B Holdings LTD,bb,
882505,B B HOLDINGS LTD,bb,
882505,B B Holdings LTD,bb,
882505,B B HOLDINGS LTD,bb,
882505,B B Holdings LTD,bb,
1452505,B BILLBOARD CORP,bbillboard,
1171544,B C CAPITAL INVESTORS LLC,bccapitalinvestors,
1073277,B C LEE LP,bclee,
1315705,"B CAPITAL ADVISORS, LP",bcapitaladvisors,
1674432,"B Capital Fund, L.P.",bcapitalfund,
1328127,B Clear Inc,bclear,
1402606,B COMMUNICATIONS LTD,bcommunications,
1613933,B Corp Consumer Circle LP,bconsumercircle,
1035675,B E C ENERGY,becenergy,
1177142,"B E FINANCIAL SOLUTIONS, LLC",befinancialsolutions,
1302269,B E Peterson Inc,bepeterson,
1220716,B F FINANCIAL LLC,bffinancial,
1281989,B F SAUL REAL ESTATE INVESTMENT TRUST,bfsaulrealestateinvestmenttrust,
1226696,B F SHAW INC,bfshaw,
350200,B FAST CORP,bfast,
1676087,"B Four, LLC",bfour,
1377047,b good LLC,bgood,
1044299,B H OCEAN CARRIERS LTD,bhoceancarriers,
1383474,B HIVE NETWORKS INC,bhivenetworks,
1417254,B Hudson Ministries Inc,bhudsonministries,
1447728,B I GAMING CORP,bigaming,
1252924,B I ISLE PARTNERSHIP LP,biislepartnership,
1252925,B I J R R ISLE INC,bijrrisle,
1100073,B III A CAPITAL PARTNERS LP,biiiacapitalpartners,
1266624,B J TAYLOR DEVELOPMENT PROSPECT 2 LTD,bjtaylordevelopmentprospect2,
1243242,B J TAYLOR DEVELOPMENT PROSPECT LTD,bjtaylordevelopmentprospect,
1228433,B J TAYLOR DEVELOPMET PROSPECT LTD,bjtaylordevelopmetprospect,
1027151,B M HOUSING LLC,bmhousing,
1440085,"B Management, Inc.",bmanagement,
1688877,B Metro LLC,bmetro,
1358399,B MEX II LLC,bmexii,
1478072,"B MY BABY NURSERY, LLC",bmybabynursery,
1145162,B P GLOBAL PARTNERS LP,bpglobalpartners,
835540,B PLUS H OCEAN CARRIERS LTD,bplushoceancarriers,
1556448,"B POSITIVE NATIONAL BLOOD SERVICES, LLC",bpositivenationalbloodservices,
1556448,"B Positive National Blood Services, LLC",bpositivenationalbloodservices,
1717650,B POSITIVE PLASMA LLC,bpositiveplasma,
1223895,B R A S S PARTNERSHIP IN COMMENDAM,brasspartnershipincommendam,
1404659,B R ANDERSON LLC,branderson,
1404658,B R SHERWOOD LLC,brsherwood,
1144639,B RICE ELECTRIC LP,briceelectric,
1007495,B RILEY & CO INC /BD,brileybd,
1323488,B RILEY & CO RETIREMENT TRUST,brileyretirementtrust,
1273981,B SQUARE INC,bsquare,
1306504,B SQUARED LLC,bsquared,
1306504,B Squared LLC,bsquared,
1306504,B SQUARED LLC,bsquared,
1362085,B SQUARED LLC,bsquared,
1454760,B STREET CAPITAL FUND I LP,bstreetcapitalfundi,
1006373,B T INSURANCE FUNDS TRUST,btinsurancefundstrust,
1655408,"B the Change Media, LLC",bchangemedia,
1099076,B THERE COM CORP,btherecom,
1015707,B TRADE SERVICES LLC /BD,btradeservicesbd,
1258422,B TWEEN PRODUCTIONS INC,btweenproductions,
926740,B U S ENVIRONMENTAL SERVICES INC ET AL,busenvironmentalservicesal,
1477808,B VENTURES USA LLC,bventuresusa,
1307894,B W O C INC,bwoc,
1462625,"B&A CAPITAL, INC.",bacapital,
1452874,B&B ALEXANDRIA CORPORATE PARK LLC,bbalexandriacorporatepark,
1358855,B&B HOLLAND GROVES LLC,bbhollandgroves,
1272997,B&B ON THE BEACH INC,bbonbeach,
1619155,B&B Outdoor Sports,bboutdoorsports,
1054199,B&B PHARMACY INC,bbpharmacy,
1305602,B&B PRIVATE EQUITY HOLDINGS LLC,bbprivateequity,
1427606,B&B SANTA FE MALL MEMBER LLC,bbsantafemallmember,
1427656,B&B SOUTH PARK MALL MEMBER LLC,bbsouthparkmallmember,
1054198,B&B STORES INC,bbstores,
1579307,"B&C AUSTIN PORTFOLIO, LLC",bcaustinportfolio,
1034953,B&C PARTNERS LLC,bcpartners,
1224193,B&C SANITATION CORP,bcsanitation,
743241,B&D Food Corp.,bdfood,
743241,B&D Food Corp.,bdfood,
743241,B&D FOOD CORP.,bdfood,
743241,B&D Food Corp.,bdfood,
743241,B&D FOOD CORP.,bdfood,
743241,B&D Food Corp.,bdfood,
743241,B&D FOOD CORP.,bdfood,
743241,B&D Food Corp.,bdfood,
743241,B&D FOOD CORP.,bdfood,
743241,B&D Food Corp.,bdfood,
743241,B&D FOOD CORP.,bdfood,
1065151,B&F FABRICATIONS INC,bffabrications,
1660185,B&G Delivery System Inc.,bgdeliverysystem,
1278027,B&G FOODS HOLDINGS CORP,bgfoods,
1049172,B&G FOODS INC,bgfoods,
1049172,B&G FOODS INC (OLD),bgfoodsold,
1576847,"B&G FOODS SNACKS, INC.",bgfoodssnacks,
1576847,"B&G Foods Snacks, Inc.",bgfoodssnacks,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1278027,"B&G FOODS, INC.",bgfoods,
1278027,"B&G Foods, Inc.",bgfoods,
1571881,"B&H CONTRACTING, L.P.",bhcontracting,
1571881,"B&H Contracting, L.P.",bhcontracting,
1571881,"B&H CONTRACTING, L.P.",bhcontracting,
1571881,"B&H Contracting, L.P.",bhcontracting,
1571881,"B&H CONTRACTING, L.P.",bhcontracting,
1571881,"B&H Contracting, L.P.",bhcontracting,
1571881,"B&H CONTRACTING, L.P.",bhcontracting,
1571881,"B&H Contracting, L.P.",bhcontracting,
1491887,"B&H Education Holdings, LLC",bheducation,
1521187,"B&H Maintenance & Construction, Inc.",bhmaintenanceconstruction,
1671235,B&M European Value Retail S.A./ADR,bmeuropeanvalueretailsaadr,
1263841,B&N COM HOLDING CORP,bncom,
1327321,B&O Equities LLC,boequities,
1327320,B&O PROPERTIES LLC,boproperties,
1145778,B&R ELECTRICAL SERVICES INC,brelectricalservices,
1139772,B&R ENERGY LLC,brenergy,
1397724,B&R ENERGY LLC LANG & ODOM #8 DRILLING PROGRAM,brenergylangodom8drillingprogram,
1688298,B&R Liquid Adventure Trust,brliquidadventuretrust,
1296004,B&T LLC,bt,
1386063,"B&W EQUITIES, LLC",bwequities,
1386063,"B&W Equities, LLC",bwequities,
1366033,B&W HEAT TREATING CORP.,bwheattreating,
1366033,B&W Heat Treating Corp.,bwheattreating,
1366033,B&W HEAT TREATING CORP.,bwheattreating,
1366030,"B&W LEASING, LLC",bwleasing,
1366030,"B&W Leasing, LLC",bwleasing,
1366030,"B&W LEASING, LLC",bwleasing,
1366044,"B&W OF MICHIGAN, INC.",bwmichigan,
1366044,"B&W of Michigan, Inc.",bwmichigan,
1366044,"B&W OF MICHIGAN, INC.",bwmichigan,
1044344,B&W SOUTHERN RESOURCES INC /BD,bwsouthernresourcesbd,
1314073,B&W Tek Inc,bwtek,
1643769,"B-29 Family Holdings, LLC",b29family,
1394428,B-DOGGY LLC,bdoggy,
1394428,B-Doggy LLC,bdoggy,
1629439,"B-Door Holdings, Inc.",bdoor,
1417272,B-Dry LLC,bdry,
1589275,B-FLEXION INVESTMENTS (US) INC.,bflexioninvestmentsus,
1348934,B-Mex LLC,bmex,
1348934,B-MEX LLC,bmex,
1453557,B-P CRAFT LLC,bpcraft,
1159670,B-S-P AUTOMOTIVE INC,bspautomotive,
1341878,"B-SCADA, INC.",bscada,
1341878,"B-Scada, Inc.",bscada,
1380740,B-SIDE ENTERTAINMENT INC,bsideentertainment,
1000079,B-TELLER INC,bteller,
1595946,B-XI Capital LLC,bxicapital,
109309,B. C. ZIEGLER & Co,bcziegler,
1336547,B. C. ZIEGLER & CO,bcziegler,
109309,B. C. ZIEGLER AND COMPANY,bcziegler,
109309,B. C. ZIEGLER AND COMPANY,bcziegler,
1305050,"B. DALTON BOOKSELLER, INC.",bdaltonbookseller,
1302269,B. E. Peterson Inc.,bepeterson,
1524908,"B. Lane, Inc.",blane,
1524908,"B. LANE, INC.",blane,
1352297,B. MORI CORP,bmori,
872843,B. PIERCE & CO. INC.,bpierce,
1337002,"B. Riley & Co., Inc.",briley,
1337002,"B. RILEY & CO., INC.",briley,
1337002,"B. Riley & Co., Inc.",briley,
1007495,"B. RILEY & CO., LLC",briley,
1337002,"B. Riley & Co., LLC",briley,
1660819,"B. Riley & Co., LLC 401(K) Profit Sharing Plan",briley401kprofitsharingplan,
1007495,B. RILEY AND CO. INC.,briley,
1658704,"B. RILEY CAPITAL MANAGEMENT, LLC",brileycapitalmanagement,
852412,"B. RILEY FBR, INC.",brileyfbr,
1505748,"B. Riley FBR, Inc.",brileyfbr,
1464790,"B. Riley Financial, Inc.",brileyfinancial,
1464790,"B. Riley Financial, Inc.",brileyfinancial,
852412,"B. RILEY SECURITIES, INC.",brileysecurities,
1505748,"B. Riley Securities, Inc.",brileysecurities,
1464811,"B. Riley Wealth Advisors, Inc.",brileywealthadvisors,
739337,"B. RILEY WEALTH MANAGEMENT, INC.",brileywealthmanagement,
1599892,"B. Riley Wealth Management, Inc.",brileywealthmanagement,
1477927,B.A.F. CURRENCY FUND L.P.,bafcurrencyfund,
1477927,B.A.F. Currency Fund L.P.,bafcurrencyfund,
1546163,B.A.S. MEDIA GROUP,basmediagroup,
1026968,B.B. Funds,bbfunds,
1026968,B.B. FUNDS,bbfunds,
1026968,B.B. Funds,bbfunds,
1019317,"B.B. GRAHAM & COMPANY, INC.",bbgraham,
1400988,B.B.B. PLAZA ASSOCIATES LTD,bbbplazaassociates,
1665318,"B.B.B. Plaza Outparcel Associates, Ltd.",bbbplazaoutparcelassociates,
1665278,"B.B.B. Plaza Outparcel GP, Ltd.",bbbplazaoutparcelgp,
1307617,B.C. ZIEGLER & CO,bcziegler,
1307617,B.C. Ziegler & CO,bcziegler,
1470451,"B.D. Inns, Inc.",bdinns,
1374510,"B.G. SULZLE, INC.",bgsulzle,
1517758,B.I. Inc,bi,
1517758,B.I. INC,bi,
1517758,B.I. Inc,bi,
1594096,"B.I. Omicia, LLC",biomicia,
1344003,B.I.G. GROUP LLC,biggroup,
1353869,B.L. Corp,bl,
1353869,B.L. CORP,bl,
1353869,B.L. Corp,bl,
1353869,B.L. CORP,bl,
1353869,B.L. Corp,bl,
1353869,B.L. CORP,bl,
1353869,B.L. Corp,bl,
1353869,B.L. CORP,bl,
1353869,B.L. Corp,bl,
1353869,B.L. CORP,bl,
1396355,B.O.J. DEVELOPMENT INC,bojdevelopment,
1563192,B.P. BARBER & ASSOCIATES INC.,bpbarberassociates,
1495034,"B.S. of Woodbridge, Inc.",bswoodbridge,
1536262,B.S. Pension Fund Trustee Ltd acting for the British Steel P,bspensionfundtrusteeactingbritishsteelp,
1536262,B.S. Pension Fund Trustee Ltd acting for the British Steel Pen,bspensionfundtrusteeactingbritishsteelpen,
1536262,B.S. Pension Fund Trustee Ltd acting for the British Steel Pen,bspensionfundtrusteeactingbritishsteelpen,
1674532,B.S.D. CAPITAL INC.,bsdcapital,
1674532,B.S.D. CAPITAL LLC,bsdcapital,
1637553,B.T.T.R. VENTURES LLC,bttrventures,
1289944,"B.W.B., Inc. of Michigan",bwbmichigan,
1289944,"B.W.B., INC. OF MICHIGAN",bwbmichigan,
1289944,"B.W.B., Inc. of Michigan",bwbmichigan,
1574411,"B.W.P. DISTRIBUTORS, INC.",bwpdistributors,
1280801,B/K FUNDS GP LLC,bkfundsgp,
1280803,B/K OPERATIONS LLC,bkoperations,
1192631,B0DAGER BRIAN R,b0dagerbrianr,
1630527,"B1-CVIII Holdings, LLC",b1cviii,
1414088,B12 Equity Fund I LP,b12equityfundi,
1624277,B12 Equity Investments I LLC,b12equityinvestmentsi,
1661478,"B12 EQUITY INVESTMENTS II, LLC",b12equityinvestmentsii,
1676955,"B12 Equity Investments II, LLC, Series E",b12equityinvestmentsiiseriese,
1661395,"B12 TRANSPORTATION GROUP, LLC",b12transportationgroup,
1422615,B2 Digital Inc,b2digital,
1354468,"B2 DIRECT, INC.",b2direct,
1677498,B2 FIE V LLC,b2fiev,
1414759,B2 Gold Corp,b2gold,
1394638,"B2 HEALTH, INC.",b2health,
1665041,"B2 Henderson Oil Holdco, LLC",b2hendersonoilholdco,
1442558,B27 HOLDINGS CORP,b27,
1123426,B2B COM INC,b2bcom,
1107282,B2B INTERNET HOLDRSSM TRUST,b2binternetholdrssmtrust,
1116414,B2B LTD,b2b,
1607191,"B2B SOURCING, INC.",b2bsourcing,
1168919,B2B TELECOM LATIN AMERICA INC,b2btelecomlatinamerica,
1095858,B2BSTORES COM INC,b2bstorescom,
1103070,B2BVIDEO NETWORK CORP,b2bvideonetwork,
1115184,B2BWORKS INC,b2bworks,
1170576,B2BWORKS INC,b2bworks,
1177894,B2D SOLUTIONS INC,b2dsolutions,
725929,"B2Digital, Inc.",b2digital,
725929,"B2DIGITAL, INC.",b2digital,
725929,"B2Digital, Inc.",b2digital,
725929,"B2DIGITAL, INC.",b2digital,
725929,"B2Digital, Inc.",b2digital,
725929,"B2DIGITAL, INC.",b2digital,
725929,"B2Digital, Inc.",b2digital,
1354468,"B2DIRECT, INC.",b2direct,
1419732,"B2E BIOTECH, LLC",b2ebiotech,
1419733,B2E CORP,b2e,
1130703,B2EMARKETS INC,b2emarkets,
1213533,B2PCOMMERCE CORP,b2pcommerce,
1649872,B2R Finance Depositor LP,b2rfinancedepositor,
1381377,B2X CORP,b2x,
1683638,B3 MEDIA GROUP INC,b3mediagroup,
1675414,B33 Airport Square LLC,b33airportsquare,
1673610,B33 Cheyenne Fountains LLC,b33cheyennefountains,
1642822,B33 Henderson Galleria LLC,b33hendersongalleria,
1596923,B33 Investors III LLC,b33investorsiii,
1642911,B33 Sunrise City Plaza LLC,b33sunrisecityplaza,
1660721,"B4CC, Inc.",b4cc,
823546,B4MC GOLD MINES INC,b4mcgoldmines,
1112247,B4UTRADE COM CORP,b4utradecom,
1175409,B4UTRADE COM INC,b4utradecom,
1131271,B4UTRADE CORP,b4utrade,
1491928,B6 SIGMA INC,b6sigma,
1419444,B601 Foggy Bottom LLC,b601foggybottom,
1533206,B601 V2 INC,b601v2,
1646692,"b8ta, inc.",b8ta,
1653912,"B941, LLC",b941,
1175810,BA 2001 PARTNERS ASSOCIATES FUND LP,ba2001partnersassociatesfund,
1159533,BA 2001 PARTNERS ASSOCIATES FUND LTD,ba2001partnersassociatesfund,
1159532,BA 2001 PARTNERS CAYMAN FUND LTD,ba2001partnerscaymanfund,
1175809,BA 2001 PARTNERS FUND II LP,ba2001partnersfundii,
1601157,"BA 2014 - Camden V, LLLP",ba2014camdenvlllp,
1491735,"BA Alpine Holdings, Inc.",baalpine,
1702731,"BA Anthem House Investors, LLC",baanthemhouseinvestors,
1651722,"BA Arlington Boulevard Investors, LLC",baarlingtonboulevardinvestors,
902135,BA CAPITAL CO LP,bacapital,
1350183,BA CAPITAL INVESTORS SIDECAR FUND L.P.,bacapitalinvestorssidecarfund,
1350183,BA Capital Investors Sidecar Fund L.P.,bacapitalinvestorssidecarfund,
1350183,BA CAPITAL INVESTORS SIDECAR FUND L.P.,bacapitalinvestorssidecarfund,
1370238,"BA CREDIT CARD FUNDING, LLC",bacreditcardfunding,
1370238,"BA Credit Card Funding, LLC",bacreditcardfunding,
1370238,"BA CREDIT CARD FUNDING, LLC",bacreditcardfunding,
